file_name,bitcrusher,vibrato_intensity,vibrato_frequency,pulse_width,oscillator_shape_sine,oscillator_shape_triangle,oscillator_shape_square,oscillator_shape_sawtooth,lfo_shape_sine,lfo_shape_triangle,lfo_shape_square,lfo_shape_sawtooth,attack,decay,sustain,release,monophonic,disable_velocity,volume,bypass
29.wav,0.0,0.0,4.0,-50.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
30.wav,0.0,0.0,4.0,-50.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
31.wav,0.0,0.0,4.0,-50.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
32.wav,0.0,0.0,4.0,0.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
33.wav,0.0,0.0,4.0,0.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
34.wav,0.0,0.0,4.0,0.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
35.wav,0.0,0.0,4.0,0.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
36.wav,0.0,0.0,4.0,0.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
37.wav,0.0,0.0,4.0,0.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
38.wav,0.0,0.0,4.0,0.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
39.wav,0.0,0.0,4.0,0.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
40.wav,0.0,0.0,4.0,0.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
41.wav,0.0,0.0,4.0,0.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
42.wav,0.0,0.0,4.0,0.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
43.wav,0.0,0.0,4.0,0.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
44.wav,0.0,0.0,4.0,0.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
45.wav,0.0,0.0,4.0,0.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
46.wav,0.0,0.0,4.0,0.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
47.wav,0.0,0.0,4.0,0.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
48.wav,0.0,0.0,4.0,50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
49.wav,0.0,0.0,4.0,50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
50.wav,0.0,0.0,4.0,50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
51.wav,0.0,0.0,4.0,50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
52.wav,0.0,0.0,4.0,50.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
53.wav,0.0,0.0,4.0,50.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
54.wav,0.0,0.0,4.0,50.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
55.wav,0.0,0.0,4.0,50.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
56.wav,0.0,0.0,4.0,50.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
57.wav,0.0,0.0,4.0,50.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
58.wav,0.0,0.0,4.0,50.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
59.wav,0.0,0.0,4.0,50.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
60.wav,0.0,0.0,4.0,50.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
61.wav,0.0,0.0,4.0,50.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
62.wav,0.0,0.0,4.0,50.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
63.wav,0.0,0.0,4.0,50.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
64.wav,0.0,0.0,4.0,100.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
65.wav,0.0,0.0,4.0,100.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
66.wav,0.0,0.0,4.0,100.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
67.wav,0.0,0.0,4.0,100.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
68.wav,0.0,0.0,4.0,100.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
69.wav,0.0,0.0,4.0,100.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
70.wav,0.0,0.0,4.0,100.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
71.wav,0.0,0.0,4.0,100.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
72.wav,0.0,0.0,4.0,100.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
73.wav,0.0,0.0,4.0,100.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
74.wav,0.0,0.0,4.0,100.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
75.wav,0.0,0.0,4.0,100.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
76.wav,0.0,0.0,4.0,100.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
77.wav,0.0,0.0,4.0,100.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
78.wav,0.0,0.0,4.0,100.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
79.wav,0.0,0.0,4.0,100.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
80.wav,0.0,0.0,28.0,-100.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
81.wav,0.0,0.0,28.0,-100.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
82.wav,0.0,0.0,28.0,-100.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
83.wav,0.0,0.0,28.0,-100.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
84.wav,0.0,0.0,28.0,-100.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
85.wav,0.0,0.0,28.0,-100.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
86.wav,0.0,0.0,28.0,-100.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
87.wav,0.0,0.0,28.0,-100.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
88.wav,0.0,0.0,28.0,-100.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
89.wav,0.0,0.0,28.0,-100.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
90.wav,0.0,0.0,28.0,-100.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
91.wav,0.0,0.0,28.0,-100.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
92.wav,0.0,0.0,28.0,-100.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
93.wav,0.0,0.0,28.0,-100.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
94.wav,0.0,0.0,28.0,-100.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
95.wav,0.0,0.0,28.0,-100.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
96.wav,0.0,0.0,28.0,-50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
97.wav,0.0,0.0,28.0,-50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
98.wav,0.0,0.0,28.0,-50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
99.wav,0.0,0.0,28.0,-50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
100.wav,0.0,0.0,28.0,-50.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
101.wav,0.0,0.0,28.0,-50.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
102.wav,0.0,0.0,28.0,-50.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
103.wav,0.0,0.0,28.0,-50.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
104.wav,0.0,0.0,28.0,-50.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
105.wav,0.0,0.0,28.0,-50.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
106.wav,0.0,0.0,28.0,-50.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
107.wav,0.0,0.0,28.0,-50.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
108.wav,0.0,0.0,28.0,-50.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
109.wav,0.0,0.0,28.0,-50.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
110.wav,0.0,0.0,28.0,-50.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
111.wav,0.0,0.0,28.0,-50.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
112.wav,0.0,0.0,28.0,0.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
113.wav,0.0,0.0,28.0,0.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
114.wav,0.0,0.0,28.0,0.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
115.wav,0.0,0.0,28.0,0.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
116.wav,0.0,0.0,28.0,0.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
117.wav,0.0,0.0,28.0,0.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
118.wav,0.0,0.0,28.0,0.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
119.wav,0.0,0.0,28.0,0.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
120.wav,0.0,0.0,28.0,0.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
121.wav,0.0,0.0,28.0,0.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
122.wav,0.0,0.0,28.0,0.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
123.wav,0.0,0.0,28.0,0.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
124.wav,0.0,0.0,28.0,0.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
125.wav,0.0,0.0,28.0,0.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
126.wav,0.0,0.0,28.0,0.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
127.wav,0.0,0.0,28.0,0.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
128.wav,0.0,0.0,28.0,50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
129.wav,0.0,0.0,28.0,50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
130.wav,0.0,0.0,28.0,50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
131.wav,0.0,0.0,28.0,50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
132.wav,0.0,0.0,28.0,50.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
133.wav,0.0,0.0,28.0,50.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
134.wav,0.0,0.0,28.0,50.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
135.wav,0.0,0.0,28.0,50.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
136.wav,0.0,0.0,28.0,50.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
137.wav,0.0,0.0,28.0,50.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
138.wav,0.0,0.0,28.0,50.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
139.wav,0.0,0.0,28.0,50.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
140.wav,0.0,0.0,28.0,50.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
141.wav,0.0,0.0,28.0,50.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
142.wav,0.0,0.0,28.0,50.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
143.wav,0.0,0.0,28.0,50.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
144.wav,0.0,0.0,28.0,100.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
145.wav,0.0,0.0,28.0,100.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
146.wav,0.0,0.0,28.0,100.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
147.wav,0.0,0.0,28.0,100.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
148.wav,0.0,0.0,28.0,100.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
149.wav,0.0,0.0,28.0,100.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
150.wav,0.0,0.0,28.0,100.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
151.wav,0.0,0.0,28.0,100.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
152.wav,0.0,0.0,28.0,100.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
153.wav,0.0,0.0,28.0,100.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
154.wav,0.0,0.0,28.0,100.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
155.wav,0.0,0.0,28.0,100.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
156.wav,0.0,0.0,28.0,100.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
157.wav,0.0,0.0,28.0,100.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
158.wav,0.0,0.0,28.0,100.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
159.wav,0.0,0.0,28.0,100.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
160.wav,0.0,0.0,52.0,-100.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
161.wav,0.0,0.0,52.0,-100.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
162.wav,0.0,0.0,52.0,-100.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
163.wav,0.0,0.0,52.0,-100.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
164.wav,0.0,0.0,52.0,-100.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
165.wav,0.0,0.0,52.0,-100.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
166.wav,0.0,0.0,52.0,-100.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
167.wav,0.0,0.0,52.0,-100.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
168.wav,0.0,0.0,52.0,-100.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
169.wav,0.0,0.0,52.0,-100.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
170.wav,0.0,0.0,52.0,-100.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
171.wav,0.0,0.0,52.0,-100.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
172.wav,0.0,0.0,52.0,-100.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
173.wav,0.0,0.0,52.0,-100.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
174.wav,0.0,0.0,52.0,-100.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
175.wav,0.0,0.0,52.0,-100.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
176.wav,0.0,0.0,52.0,-50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
177.wav,0.0,0.0,52.0,-50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
178.wav,0.0,0.0,52.0,-50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
179.wav,0.0,0.0,52.0,-50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
180.wav,0.0,0.0,52.0,-50.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
181.wav,0.0,0.0,52.0,-50.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
182.wav,0.0,0.0,52.0,-50.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
183.wav,0.0,0.0,52.0,-50.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
184.wav,0.0,0.0,52.0,-50.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
185.wav,0.0,0.0,52.0,-50.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
186.wav,0.0,0.0,52.0,-50.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
187.wav,0.0,0.0,52.0,-50.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
188.wav,0.0,0.0,52.0,-50.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
189.wav,0.0,0.0,52.0,-50.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
190.wav,0.0,0.0,52.0,-50.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
191.wav,0.0,0.0,52.0,-50.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
192.wav,0.0,0.0,52.0,0.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
193.wav,0.0,0.0,52.0,0.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
194.wav,0.0,0.0,52.0,0.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
195.wav,0.0,0.0,52.0,0.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
196.wav,0.0,0.0,52.0,0.0,False,True,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
197.wav,0.0,0.0,52.0,0.0,False,True,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
198.wav,0.0,0.0,52.0,0.0,False,True,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
199.wav,0.0,0.0,52.0,0.0,False,True,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
200.wav,0.0,0.0,52.0,0.0,False,False,True,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
201.wav,0.0,0.0,52.0,0.0,False,False,True,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
202.wav,0.0,0.0,52.0,0.0,False,False,True,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
203.wav,0.0,0.0,52.0,0.0,False,False,True,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
204.wav,0.0,0.0,52.0,0.0,False,False,False,True,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
205.wav,0.0,0.0,52.0,0.0,False,False,False,True,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
206.wav,0.0,0.0,52.0,0.0,False,False,False,True,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
207.wav,0.0,0.0,52.0,0.0,False,False,False,True,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
208.wav,0.0,0.0,52.0,50.0,True,False,False,False,True,False,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
209.wav,0.0,0.0,52.0,50.0,True,False,False,False,False,True,False,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
210.wav,0.0,0.0,52.0,50.0,True,False,False,False,False,False,True,False,0.0,2.0,100.0,1.0,False,False,-8.0,False
211.wav,0.0,0.0,52.0,50.0,True,False,False,False,False,False,False,True,0.0,2.0,100.0,1.0,False,False,-8.0,False
